,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
317,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
318,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
319,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
320,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
321,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
322,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
323,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
324,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
325,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
326,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
327,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
328,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
329,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
330,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
331,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
332,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
333,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
334,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
335,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
336,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
337,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
338,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
339,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
340,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
341,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
342,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
343,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
344,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
345,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
346,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
347,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
348,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
349,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
350,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
351,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
352,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
353,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
354,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
355,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
356,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
357,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
358,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
359,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
360,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
361,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
362,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
363,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
364,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
365,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
366,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
367,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
368,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
369,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
370,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
371,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
372,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
373,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
374,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
375,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
376,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
377,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
378,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
379,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
380,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
381,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
382,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
383,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
384,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
385,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
386,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
387,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
388,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
389,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
390,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
391,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
392,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
393,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
394,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
395,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
396,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
397,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
398,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
399,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
400,1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
401,2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
402,3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
403,4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
404,5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
405,6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
406,7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
407,8,Alphabet,Technology and cloud computing,"282,836",9.8%,"156,000","Mountain View, California"
408,9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
409,10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
410,11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
411,12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
412,13,Microsoft,Technology and cloud computing,"198,270",18.0%,"221,000","Redmond, Washington"
413,14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
414,15,Cigna,Health insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
415,16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
416,17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
417,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
418,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
419,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
420,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
421,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
422,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
423,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
424,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
425,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
426,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
427,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
428,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
429,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
430,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
431,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
432,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
433,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
434,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
435,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
436,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
437,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
438,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
439,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
440,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
441,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
442,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
443,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
444,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
445,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
446,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
447,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
448,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
449,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
450,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
451,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
452,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
453,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
454,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
455,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
456,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
457,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
458,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
459,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
460,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
461,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
462,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
463,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
464,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
465,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
466,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
467,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
468,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
469,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
470,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
471,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
472,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
473,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
474,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
475,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
476,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
477,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
478,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
479,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
480,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
481,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
482,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
483,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
484,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
485,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
486,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
487,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
488,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
489,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
490,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
491,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
492,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
493,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
494,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
495,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
496,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
497,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
498,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
499,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
500,1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
501,2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
502,3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
503,4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
504,5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
505,6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
506,7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
507,8,Alphabet,Technology and cloud computing,"282,836",9.8%,"156,000","Mountain View, California"
508,9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
509,10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
510,11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
511,12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
512,13,Microsoft,Technology and cloud computing,"198,270",18.0%,"221,000","Redmond, Washington"
513,14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
514,15,Cigna,Health insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
515,16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
516,17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
517,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
518,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
519,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
520,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
521,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
522,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
523,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
524,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
525,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
526,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
527,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
528,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
529,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
530,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
531,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
532,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
533,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
534,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
535,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
536,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
537,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
538,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
539,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
540,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
541,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
542,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
543,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
544,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
545,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
546,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
547,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
548,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
549,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
550,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
551,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
552,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
553,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
554,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
555,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
556,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
557,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
558,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
559,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
560,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
561,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
562,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
563,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
564,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
565,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
566,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
567,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
568,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
569,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
570,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
571,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
572,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
573,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
574,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
575,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
576,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
577,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
578,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
579,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
580,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
581,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
582,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
583,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
584,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
585,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
586,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
587,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
588,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
589,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
590,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
591,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
592,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
593,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
594,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
595,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
596,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
597,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
598,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
599,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
600,1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
601,2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
602,3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
603,4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
604,5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
605,6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
606,7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
607,8,Alphabet,Technology and cloud computing,"282,836",9.8%,"156,000","Mountain View, California"
608,9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
609,10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
610,11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
611,12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
612,13,Microsoft,Technology and cloud computing,"198,270",18.0%,"221,000","Redmond, Washington"
613,14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
614,15,Cigna,Health insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
615,16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
616,17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
617,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
618,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
619,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
620,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
621,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
622,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
623,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
624,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
625,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
626,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
627,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
628,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
629,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
630,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
631,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
632,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
633,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
634,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
635,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
